Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,volatility_1h_30d,volume_to_marketcap,circulating_to_total_supply,momentum_diff_7d_30d
29.0,Ethereum Classic,ETC,2.9770590082883697,0.3,-2.4,-3.5,17.7,167115878.0,143202120.0,211000000.0,2665685146.0,17.4,0.06269152913680226,0.6786830331753555,-21.2
30.0,Cosmos Hub,ATOM,2.263844264677615,0.5,-2.7,-9.0,28.7,210105658.0,292586164.0,250000000.0,2520997917.0,28.2,0.08334225767628828,1.170344656,-37.7
31.0,Cronos,CRO,0.08617769624105233,-1.6,1.0,-11.0,67.7,28257797.0,26385699323.0,30000000000.0,2425344883.0,69.3,0.011651042784911839,0.8795233107666667,-78.7
32.0,Lido DAO,LDO,1.247032293786383,1.9,4.0,-0.1,40.2,106146291.0,890191580.0,1000000000.0,2197746319.0,38.300000000000004,0.04829779036931696,0.89019158,-40.300000000000004
33.0,Filecoin,FIL,1.6808279085207734,0.0,-3.7,-14.3,25.9,201698294.0,471740745.0,1960000000.0,2061302504.0,25.9,0.09784992431173993,0.24068405357142858,-40.2
34.0,Hedera,HBAR,0.058268908123975775,0.6,-3.9,0.1,21.4,74942726.0,33562400523.0,50000000000.0,2009561668.0,20.799999999999997,0.037293071018112196,0.67124801046,-21.299999999999997
35.0,Aptos,APT,2.0992441689760155,0.3,-1.0,-6.0,20.8,137618187.0,276002428.0,1070000000.0000001,1975596895.0,20.5,0.06965904195754469,0.2579461943925233,-26.8
36.0,Internet Computer,ICP,1.6601310267496183,0.3,-1.6,-5.4,28.8,48796544.0,449607558.0,510000000.0,1915851337.0,28.5,0.025469901060491313,0.8815834470588235,-34.2
37.0,NEAR Protocol,NEAR,1.0296194171811583,0.0,-6.6,8.4,69.5,300672386.0,1000915617.0,1000000000.0,1805533947.0,69.5,0.16652823753304927,1.000915617,-61.1
38.0,BUSD,BUSD,0.6931471805599453,0.4,-1.1,-0.3,-0.2,464949376.1715036,1772658616.0,1760000000.0,1776602916.0,-0.6000000000000001,0.2617069757030071,1.0071923954545454,-0.09999999999999998
39.0,THORChain,RUNE,1.916922612182061,0.9,8.2,-0.2,191.9,464949376.1715036,300700561.0,500000000.0,1745571533.0,191.0,0.26635939426236255,0.601401122,-192.1
40.0,Immutable,IMX,0.8458682675776092,0.7,1.0,14.4,122.0,464949376.1715036,1251798947.0,2000000000.0,1665608134.0,121.3,0.2791469173814107,0.6258994735,-107.6
41.0,Optimism,OP,0.9969486348916095,1.0,0.9,-7.5,33.1,145187244.0,880917403.0,4290000000.0,1503698590.0,32.1,0.09655342165347112,0.20534205198135197,-40.6
42.0,VeChain,VET,0.019802627296179712,0.4,-1.7,-5.3,13.3,65941926.0,72714516834.0,86000000000.0,1469956158.0,12.9,0.044859790981602865,0.8455176376046512,-18.6
43.0,Mantle,MNT,0.3784364357202451,-0.1,-2.9,0.3,21.3,16337730.0,3105990005.0,6220000000.0,1434927462.0,21.400000000000002,0.011385753240256823,0.49935530627009644,-21.0
44.0,Quant,QNT,4.595523808936286,0.0,-1.4,-4.7,5.5,31347588.0,14544176.0,14600000.0,1426103888.0,5.5,0.021981279389093146,0.9961764383561644,-10.2
45.0,Bittensor,TAO,5.501992634666848,-1.1,4.5,60.8,381.9,17665641.0,5653953.0,5650000.0,1393270902.0,383.0,0.012679257834669111,1.0006996460176991,-321.09999999999997
46.0,Aave,AAVE,4.53828224044646,-0.6,4.3,-1.0,11.0,169071815.0,14640360.0,16000000.0,1353296683.0,11.6,0.1249332959460154,0.9150225,-12.0
47.0,Maker,MKR,7.2933917594561155,0.8,1.3,3.3,-3.4,134212928.0,901311.0,978000.0,1323268975.0,-4.2,0.1014252812811545,0.9215858895705521,6.699999999999999
48.0,Injective,INJ,2.8112082932048366,0.7,0.7,-5.6,51.2,101870789.0,84255556.0,100000000.0,1316138826.0,50.5,0.07740124900775475,0.84255556,-56.800000000000004
49.0,The Graph,GRT,0.1310282624064041,1.3,3.9,7.9,61.7,100683146.0,9313462072.0,10000000000.0,1312701409.0,60.400000000000006,0.07669919854561534,0.9313462072,-53.800000000000004
50.0,Arbitrum,ARB,0.6931471805599453,0.2,-1.9,-10.8,19.0,330572699.0,1275000000.0,10000000000.0,1274970582.0,18.8,0.25927868741994237,0.1275,-29.8
51.0,Render,RNDR,1.449269160281279,0.1,-4.7,31.4,61.6,193668334.0,374243313.0,531000000.0,1222039540.0,61.5,0.1584795971495325,0.7047896666666666,-30.200000000000003
52.0,Rocket Pool ETH,RETH,7.704311572451442,0.4,2.1,1.2,21.3,8583634.0,543163.0,543000.0,1204093923.0,20.900000000000002,0.0071287080152467475,1.0003001841620627,-20.1
53.0,Synthetix Network,SNX,1.4883995840570443,0.0,5.2,25.4,56.6,234273155.0,326492861.0,327000000.0,1126089485.0,56.6,0.20804133074735176,0.9984491162079511,-31.200000000000003
54.0,MultiversX,EGLD,3.769306703226551,0.5,-1.4,-9.7,55.3,35420729.0,26234462.0,26200000.0,1111114409.0,54.8,0.031878561481241664,1.0013153435114504,-65.0
55.0,Algorand,ALGO,0.12221763272424921,0.3,-3.3,-6.8,36.7,68159573.0,8006088059.0,8010000000.0,1031403193.0,36.400000000000006,0.06608431451695147,0.9995116178526842,-43.5
56.0,Flow,FLOW,0.4824261492442927,0.9,-4.1,-8.3,36.3,40621841.0,1471201014.0,1470000000.0,918473679.0,35.4,0.044227550477252166,1.0008170163265306,-44.599999999999994
57.0,Theta Network,THETA,0.6418538861723948,0.3,-2.7,-4.8,46.1,19679426.0,1000000000.0,1000000000.0,904181803.0,45.800000000000004,0.021764899420343677,1.0,-50.9
58.0,Bitcoin SV,BSV,3.8407418034231826,0.0,-4.2,-5.5,-9.9,38623645.0,19558969.0,21000000.0,891592427.0,-9.9,0.04331984416911159,0.9313794761904762,4.4
59.0,Stacks,STX,0.4762341789963716,0.0,-2.9,-4.1,-6.2,23968051.0,1421837341.0,1820000000.0,861520742.0,-6.2,0.027820631392296763,0.7812293082417583,2.1000000000000005
60.0,Fantom,FTM,0.2546422183735807,0.3,-5.0,-9.9,29.0,118565089.0,2803634836.0,3180000000.0,816602455.0,28.7,0.14519315766690905,0.8816461748427673,-38.9
61.0,Celestia,TIA,1.8976198599275325,-1.3,3.0,-9.9,14.1,277779060.0,141043528.0,1000000000.0,800895863.0,15.4,0.3468354287154059,0.141043528,-24.0
62.0,The Sandbox,SAND,0.32208349916911333,0.5,-4.4,-11.4,23.4,84248957.0,2095031926.0,3000000000.0,795605412.0,22.9,0.10589289078390533,0.6983439753333334,-34.8
63.0,WhiteBIT Coin,WBT,1.860974538249528,0.2,-0.2,0.3,1.0,4962253.0,144118517.0,364000000.0,781967174.0,0.8,0.006345858451597867,0.3959299917582418,-0.7
64.0,Axie Infinity,AXS,1.9065751436566365,0.6,-3.8,-9.2,28.5,75366667.0,132455907.0,270000000.0,759117194.0,27.9,0.09928199176055022,0.4905774333333333,-37.7
